"","YHOO","GOOG","MSFT"
"809","43.73","768.21","56.86"
"810","43.795","767.73","56.7644"
"811","43.78","768.54","56.81"
"812","43.8","768.35","56.7866"
"813","43.8","768.89","56.7699"
"814","43.81","768.28","56.79"
"815","43.85","768.61","56.89"
"816","43.88","769.17","56.96"
"817","43.85","769.37","56.93"
"818","43.76","768.6899","56.8836"
"819","43.72","767.73","56.8759"
"820","43.77","768.55","56.93"
"821","43.76","768.33","56.885"
"822","43.83","768.6201","56.93"
"823","43.88","769.33","56.95"
"824","43.85","768.56","56.91"
"825","43.91","769.35","56.97"
"826","43.92","769.91","56.96"
"827","43.83","769.36","56.975"
"828","43.86","769.87","56.95"
"829","43.84","769.17","56.94"
"830","43.81","768.87","56.905"
"831","43.76","768.615","56.865"
"832","43.85","768.47","56.87"
"833","43.82","768.65","56.885"
"834","43.86","769.78","56.99"
"835","43.82","769.45","56.97"
"836","43.75","768.95","56.905"
"837","43.805","769.15","56.97"
"838","43.79","769.72","56.97"
"839","43.76","770","57"
"840","43.78","770.68","57.05"
"841","43.79","770.86","57.0225"
"842","43.85","772.02","57.055"
"843","43.86","771.96","57.0995"
"844","43.86","771.81","57.09"
"845","43.83","771.75","57.12"
"846","43.86","771.6","57.12"
"847","43.86","771.14","57.085"
"848","43.87","770.96","57.095"
"849","43.93","771.9","57.22"
"850","43.91","772.3767","57.195"
"851","43.9037","771.67","57.21"
"852","43.88","772","57.245"
"853","43.895","772.01","57.23"
"854","43.94","772.09","57.265"
"855","43.97","772.46","57.25"
"856","43.98","772.99","57.3"
"857","43.98","773.09","57.29"
"858","43.99","773.47","57.345"
"859","43.95","773.25","57.2702"
